#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 05 02 03 999 99.0 99.0  0.83 14.29 10.32 273 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 02 33 999 99.0 99.0  0.85 14.29 10.17 274 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 03 03 999 99.0 99.0  0.98 14.29 10.70 280 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 03 33 999 99.0 99.0  0.91 13.33 10.24 278 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 04 03 999 99.0 99.0  0.93 12.50 10.34 278 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 04 33 999 99.0 99.0  1.03 14.29 11.04 284 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 05 03 999 99.0 99.0  0.94 13.33 10.53 281 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 05 33 999 99.0 99.0  1.03 13.33 11.02 280 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 06 03 999 99.0 99.0  0.96 13.33 10.65 285 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 06 33 999 99.0 99.0  1.10 12.50 11.24 285 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 07 03 999 99.0 99.0  0.98 12.50 10.24 285 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 07 33 999 99.0 99.0  1.06 14.29 10.74 273 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 08 03 999 99.0 99.0  1.07 12.50 10.68 281 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 08 33 999 99.0 99.0  0.95 13.33 10.48 277 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 09 03 999 99.0 99.0  0.90 12.50 10.01 287 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 09 33 999 99.0 99.0  0.97 12.50 10.43 273 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 10 03 999 99.0 99.0  0.93 13.33 10.21 264 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 05 10 33 999 99.0 99.0  0.88 13.33  9.95 285 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 11 03 999 99.0 99.0  0.90 13.33 10.07 280 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 11 33 999 99.0 99.0  1.03 13.33 10.49 275 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 12 03 999 99.0 99.0  0.88 13.33  9.75 281 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 12 33 999 99.0 99.0  0.76 12.50  9.42 277 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 13 03 999 99.0 99.0  0.82 13.33  9.70 280 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 13 33 999 99.0 99.0  0.80 13.33 10.11 277 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 14 03 999 99.0 99.0  0.86 12.50  9.91 263 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 14 33 999 99.0 99.0  0.84 12.50  9.71 264 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 15 03 999 99.0 99.0  0.72 13.33  9.38 278 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 05 15 33 999 99.0 99.0  0.78 11.76  9.79 273 9999.0 999.0  16.3 999.0 99.0 99.00
